test1,,109371.284,196408.962,8.584
test2,,109371.270,196408.943,8.585
pijkestr1,,109371.277,196408.961,8.585
pijkestr2,,109372.117,196409.582,8.492
pijkestroef1,,109372.108,196409.556,8.491
pijkestroef2,,109372.093,196409.546,8.487
test1-1,,106032.805,207261.707,6.335
test1-2,,106033.202,207260.280,6.268
schurfert1-1,,203742.886,186902.061,20.597
schurfert1-2,,203743.304,186902.582,20.127
schurfert1-3,,203743.769,186903.371,20.187
schurfert1-4,,203744.463,186904.322,20.207
schurfert1-5,,203745.510,186905.396,20.479
schurfert1-6,,203745.573,186899.634,20.564
schurfert1-7,,203746.108,186900.364,20.197
schurfert1-8,,203746.774,186901.297,20.215
schurfert1-9,,203747.555,186902.402,20.235
schurfert1-10,,203748.389,186903.560,20.615
schurfert1-11,,203747.793,186897.983,20.621
schurfert1-12,,203748.348,186898.708,20.169
schurfert1-13,,203748.852,186899.697,20.187
schurfert1-14,,203749.416,186900.546,20.210
schurfert1-15,,203750.283,186901.875,20.515
schurfert1-16,,203750.908,186896.022,20.680
schurfert1-17,,203751.392,186897.018,20.293
schurfert1-18,,203752.077,186898.040,20.104
schurfert1-19,,203752.531,186899.161,20.239
schurfert1-20,,203753.093,186900.469,20.631
schurfert1-21,,203752.774,186895.384,20.604
schurfert1-22,,203753.093,186896.144,20.175
schurfert1-23,,203753.456,186897.253,20.191
schurfert1-24,,203753.819,186898.525,20.322
schurfert1-25,,203754.306,186899.689,20.579
schurfert1-26,,203755.007,186894.527,20.643
schurfert1-27,,203755.155,186895.555,20.115
schurfert1-28,,203755.474,186896.473,20.156
schurfert1-29,,203755.881,186897.544,20.303
schurfert1-30,,203756.414,186898.826,20.546
schurfert1-31,,203758.572,186893.596,20.609
schurfert1-32,,203758.879,186894.534,20.086
schurfert1-33,,203758.842,186895.631,20.175
schurfert1-34,,203759.017,186896.698,20.199
schurfert1-35,,203759.192,186898.060,20.558
schurfert1-36,,203761.467,186892.794,20.598
schurfert1-37,,203761.733,186893.682,20.134
schurfert1-38,,203761.956,186894.572,20.136
schurfert1-39,,203762.247,186895.508,20.220
schurfert1-40,,203762.387,186896.548,20.388
schurfert1-41,,203764.661,186891.655,20.484
schurfert1-42,,203765.008,186892.563,20.079
schurfert1-43,,203765.112,186893.444,20.093
schurfert1-44,,203765.347,186894.569,20.199
schurfert1-45,,203765.339,186895.741,20.603
schurfert1-46,,203768.293,186890.541,20.423
schurfert1-47,,203768.513,186891.402,20.118
schurfert1-48,,203768.476,186892.753,20.153
schurfert1-49,,203768.563,186893.882,20.185
schurfert1-50,,203768.515,186895.191,20.523
schurfert1-51,,203771.173,186890.079,20.537
schurfert1-52,,203771.110,186891.091,20.154
schurfert1-53,,203770.935,186892.455,20.168
schurfert1-54,,203770.779,186893.950,20.269
schurfert1-55,,203770.531,186895.611,20.627
schurfert1-56,,203773.737,186890.869,20.475
schurfert1-57,,203773.372,186891.951,20.155
schurfert1-58,,203772.983,186893.149,20.187
schurfert1-59,,203772.650,186894.359,20.322
schurfert1-60,,203772.259,186895.611,20.394
schurfert1-61,,203776.530,186891.999,20.541
schurfert1-62,,203776.161,186892.975,20.171
schurfert1-63,,203775.753,186893.920,20.169
schurfert1-64,,203775.204,186895.211,20.269
schurfert1-65,,203774.484,186896.684,20.492
schurfert1-66,,203780.167,186893.867,20.537
schurfert1-67,,203779.719,186894.803,20.167
schurfert1-68,,203778.987,186896.169,20.257
schurfert1-69,,203778.195,186897.618,20.335
schurfert1-70,,203777.503,186898.618,20.506
schurfert1-71,,203783.744,186895.861,20.465
schurfert1-72,,203783.031,186896.825,20.161
schurfert1-73,,203782.336,186897.819,20.273
schurfert1-74,,203781.617,186899.009,20.296
schurfert1-75,,203780.880,186900.276,20.487
schurfert2-1,,203812.232,186934.295,20.084
schurfert2-2,,203811.140,186934.239,19.140
schurfert2-3,,203809.484,186934.268,19.336
schurfert2-4,,203807.827,186933.959,19.875
schurfert2-5,,203806.384,186933.862,20.604
schurfert2-6,,203810.677,186937.047,19.601
schurfert2-7,,203810.065,186936.707,19.265
schurfert2-8,,203808.911,186936.110,19.290
schurfert2-9,,203807.285,186935.836,19.845
schurfert2-10,,203806.293,186935.930,20.284
schurfert2-11,,203810.148,186939.774,20.255
schurfert2-12,,203809.380,186939.247,20.159
schurfert2-13,,203808.403,186938.795,20.193
schurfert2-14,,203807.128,186938.244,19.837
schurfert2-15,,203806.006,186937.833,19.954
schurfert2-16,,203808.456,186942.286,20.346
schurfert2-17,,203807.761,186941.778,20.233
schurfert2-18,,203806.896,186941.089,20.200
schurfert2-19,,203806.027,186940.351,20.186
schurfert2-20,,203805.015,186939.774,20.337
schurfert2-21,,203805.412,186944.292,20.338
schurfert2-22,,203804.830,186943.620,20.277
schurfert2-23,,203803.978,186942.844,20.294
schurfert2-24,,203803.206,186942.086,20.356
schurfert2-25,,203802.484,186941.319,20.652
schurfert2-26,,203802.796,186946.641,20.354
schurfert2-27,,203802.124,186946.034,20.282
schurfert2-28,,203801.585,186945.149,20.258
schurfert2-29,,203801.195,186944.280,20.255
schurfert2-30,,203800.357,186943.448,20.484
schurfert2-31,,203800.697,186948.569,20.291
