"","X","Y","Z","loc","jaar"
"1:107",205610.121,188270.518,21.537,"controle1-32","2016"
"1:108",205609.375,188271.552,21.419,"controle1-33","2016"
"1:109",205608.923,188272.286,21.457,"controle1-34","2016"
"1:110",205608.366,188273.114,21.654,"controle1-35","2016"
"1:111",205610.75,188274.735,21.42,"controle1-36","2016"
"1:112",205611.269,188273.791,21.54,"controle1-37","2016"
"1:113",205611.687,188273.251,21.449,"controle1-38","2016"
"1:114",205612.079,188272.651,21.452,"controle1-39","2016"
"1:115",205612.85,188271.647,21.592,"controle1-40","2016"
"1:116",205615.561,188273.28,21.522,"controle1-41","2016"
"1:117",205615.028,188273.927,21.399,"controle1-42","2016"
"1:118",205614.366,188274.996,21.461,"controle1-43","2016"
"1:119",205613.96,188275.691,21.499,"controle1-44","2016"
"1:120",205613.459,188276.528,21.527,"controle1-45","2016"
"1:121",205616.774,188278.63,21.525,"controle1-46","2016"
"1:122",205617.249,188277.969,21.293,"controle1-47","2016"
"1:123",205617.704,188276.875,21.379,"controle1-48","2016"
"1:124",205618.201,188276.105,21.365,"controle1-49","2016"
"1:125",205618.844,188275.353,21.544,"controle1-50","2016"
"1:126",205621.551,188277.17,21.752,"controle1-51","2016"
"1:127",205621.049,188277.949,21.38,"controle1-52","2016"
"1:128",205620.547,188278.62,21.294,"controle1-53","2016"
"1:129",205620.135,188279.367,21.288,"controle1-54","2016"
"1:130",205619.552,188280.346,21.392,"controle1-55","2016"
"1:131",205621.267,188281.876,21.622,"controle1-56","2016"
"1:132",205622.001,188280.812,21.196,"controle1-57","2016"
"1:133",205622.412,188280.001,21.242,"controle1-58","2016"
"1:134",205622.753,188279.181,21.307,"controle1-59","2016"
"1:135",205623.428,188278.329,21.581,"controle1-60","2016"
"1:136",205626.86,188280.321,21.908,"controle1-61","2016"
"1:137",205626.485,188280.964,21.445,"controle1-62","2016"
"1:138",205625.893,188282.11,21.417,"controle1-63","2016"
"1:139",205625.451,188283.065,21.328,"controle1-64","2016"
"1:140",205625.23,188284.377,21.421,"controle1-65","2016"
"1:141",205627.61,188285.603,21.932,"controle1-66","2016"
"1:142",205628.178,188284.696,21.252,"controle1-67","2016"
"1:143",205628.577,188283.83,21.288,"controle1-68","2016"
"1:144",205629.171,188283.059,21.298,"controle1-69","2016"
"1:145",205629.556,188282.344,21.535,"controle1-70","2016"
"1:146",205632.503,188283.91,21.932,"controle1-71","2016"
"1:147",205632.115,188284.56,21.27,"controle1-72","2016"
"1:148",205631.471,188285.557,21.26,"controle1-73","2016"
"1:149",205630.979,188286.344,21.301,"controle1-74","2016"
"1:150",205630.75,188287.396,21.558,"controle1-75","2016"
"1:151",205679.2,188310.841,21.678,"controle2-1","2016"
"1:152",205678.708,188311.749,21.518,"controle2-2","2016"
"1:153",205678.195,188312.718,21.546,"controle2-3","2016"
"1:154",205677.818,188313.431,21.619,"controle2-4","2016"
"1:155",205677.425,188314.42,21.354,"controle2-5","2016"
"1:156",205680.319,188315.967,21.525,"controle2-6","2016"
"1:157",205680.698,188315.223,21.535,"controle2-7","2016"
"1:158",205681.007,188314.409,21.502,"controle2-8","2016"
"1:159",205681.277,188313.673,21.507,"controle2-9","2016"
"1:160",205681.766,188312.715,21.611,"controle2-10","2016"
"1:161",205684.821,188314.274,21.678,"controle2-11","2016"
"1:162",205684.543,188314.909,21.252,"controle2-12","2016"
"1:163",205683.902,188316.127,21.346,"controle2-13","2016"
"1:164",205683.571,188316.769,21.332,"controle2-14","2016"
"1:165",205683.28,188317.648,21.481,"controle2-15","2016"
"1:166",205686.403,188319.102,21.364,"controle2-16","2016"
"1:167",205686.748,188318.447,21.404,"controle2-17","2016"
"1:168",205687.007,188317.638,21.66,"controle2-18","2016"
"1:169",205687.42,188316.664,21.319,"controle2-19","2016"
"1:170",205687.789,188315.77,21.512,"controle2-20","2016"
"1:171",205690.544,188317.222,21.55,"controle2-21","2016"
"1:172",205690.157,188317.842,21.402,"controle2-22","2016"
"1:173",205689.55,188318.871,21.673,"controle2-23","2016"
"1:174",205689.132,188319.752,21.681,"controle2-24","2016"
"1:175",205688.733,188320.359,21.502,"controle2-25","2016"
"1:176",205692.011,188322.189,21.575,"controle2-26","2016"
"1:177",205692.4,188321.386,21.548,"controle2-27","2016"
"1:178",205692.605,188320.836,21.441,"controle2-28","2016"
"1:179",205692.953,188319.985,21.35,"controle2-29","2016"
"1:180",205693.543,188318.821,21.458,"controle2-30","2016"
"1:181",205696.917,188320.556,21.374,"controle2-31","2016"
"1:182",205696.409,188321.712,21.316,"controle2-32","2016"
"1:183",205696.063,188322.334,21.55,"controle2-33","2016"
"1:184",205695.679,188323.102,21.56,"controle2-34","2016"
"1:185",205695.299,188323.88,21.705,"controle2-35","2016"
"1:186",205697.731,188324.943,21.7,"controle2-36","2016"
"1:187",205698.057,188324.047,21.79,"controle2-37","2016"
"1:188",205698.335,188323.353,21.632,"controle2-38","2016"
"1:189",205698.534,188322.534,21.264,"controle2-39","2016"
"1:190",205699.2,188321.487,21.721,"controle2-40","2016"
"1:191",205702.42,188323.262,21.34,"controle2-41","2016"
"1:192",205702.127,188324.084,21.335,"controle2-42","2016"
"1:193",205701.43,188325.045,21.75,"controle2-43","2016"
"1:194",205701.002,188325.759,21.688,"controle2-44","2016"
"1:195",205700.523,188326.643,21.623,"controle2-45","2016"
"1:196",205703.513,188327.93,21.642,"controle2-46","2016"
"1:197",205703.837,188327.052,21.497,"controle2-47","2016"
"1:198",205704.045,188326.382,21.553,"controle2-48","2016"
"1:199",205704.455,188325.56,21.386,"controle2-49","2016"
"1:200",205705.177,188324.557,21.542,"controle2-50","2016"
"1:201",205708.472,188326.138,21.811,"controle2-51","2016"
"1:202",205708.017,188326.891,21.297,"controle2-52","2016"
"1:203",205707.24,188327.929,21.595,"controle2-53","2016"
"1:204",205706.79,188328.774,21.699,"controle2-54","2016"
"1:205",205706.498,188329.457,21.653,"controle2-55","2016"
"1:206",205709.442,188330.954,21.686,"controle2-56","2016"
"1:207",205709.972,188330.282,21.764,"controle2-57","2016"
"1:208",205710.312,188329.444,21.676,"controle2-58","2016"
"1:209",205710.831,188328.461,21.516,"controle2-59","2016"
"1:210",205711.234,188327.46,21.577,"controle2-60","2016"
