INDIVIDUAL MEASUREMENTS
Name;Code;Easting;Northing;Elevation;HzPrec;VtPrec;PDOP;satellites;Date;Time
schurfert1;1;203743.050;186902.313;20.095;0.009;0.013;1.201;25;2024-09-02;14:27:53
schurfert1-1;?;203743.071;186902.245;20.111;0.008;0.011;1.320;24;2024-09-02;14:31:29
schurfert1-2;?;203743.648;186902.851;19.900;0.008;0.011;1.320;24;2024-09-02;14:31:53
schurfert1-3;?;203743.981;186903.494;19.911;0.008;0.012;1.320;24;2024-09-02;14:32:11
schurfert1-4;?;203744.307;186903.956;19.952;0.008;0.011;1.223;25;2024-09-02;14:32:26
schurfert1-5;?;203744.624;186904.547;20.036;0.008;0.012;1.224;25;2024-09-02;14:32:42
schurfert1-6;?;203745.759;186899.803;20.241;0.008;0.012;1.258;24;2024-09-02;14:33:45
schurfert1-7;?;203746.322;186900.425;19.954;0.008;0.012;1.228;25;2024-09-02;14:34:00
schurfert1-8;?;203746.873;186901.299;20.017;0.007;0.009;1.229;25;2024-09-02;14:34:13
schurfert1-9;?;203747.257;186901.769;20.014;0.007;0.009;1.230;25;2024-09-02;14:34:27
schurfert1-10;?;203747.743;186902.456;20.045;0.007;0.009;1.230;25;2024-09-02;14:34:45
schurfert1-11;?;203748.337;186897.998;20.203;0.007;0.010;1.195;26;2024-09-02;14:35:24
schurfert1-12;?;203748.942;186898.775;19.864;0.007;0.010;1.196;26;2024-09-02;14:35:39
schurfert1-13;?;203749.302;186899.484;19.985;0.007;0.010;1.062;27;2024-09-02;14:35:54
schurfert1-14;?;203749.564;186900.133;19.920;0.007;0.010;1.063;27;2024-09-02;14:36:09
schurfert1-15;?;203749.879;186900.869;19.982;0.007;0.011;1.064;27;2024-09-02;14:36:26
schurfert1-16;?;203751.236;186896.274;20.255;0.008;0.011;1.065;27;2024-09-02;14:36:52
schurfert1-17;?;203751.768;186896.821;20.057;0.008;0.011;1.065;27;2024-09-02;14:37:06
schurfert1-18;?;203752.084;186897.671;19.987;0.008;0.011;1.066;27;2024-09-02;14:37:20
schurfert1-19;?;203752.428;186898.532;19.960;0.008;0.012;1.066;27;2024-09-02;14:37:34
schurfert1-20;?;203752.731;186899.265;19.931;0.008;0.012;1.067;27;2024-09-02;14:37:49
schurfert1-21;?;203754.138;186895.177;20.190;0.008;0.012;1.068;27;2024-09-02;14:38:15
schurfert1-22;?;203754.685;186895.932;19.876;0.008;0.012;1.068;27;2024-09-02;14:38:29
schurfert1-23;?;203754.952;186896.688;19.940;0.008;0.012;1.069;27;2024-09-02;14:38:45
schurfert1-24;?;203755.203;186897.512;19.977;0.008;0.012;1.069;27;2024-09-02;14:39:00
schurfert1-25;?;203755.436;186898.220;20.015;0.008;0.012;1.070;27;2024-09-02;14:39:17
schurfert1-26;?;203757.020;186894.247;20.085;0.008;0.013;1.071;27;2024-09-02;14:39:40
schurfert1-27;?;203757.522;186895.095;19.998;0.008;0.012;1.071;27;2024-09-02;14:39:55
schurfert1-28;?;203757.682;186895.759;19.956;0.008;0.013;1.071;27;2024-09-02;14:40:09
schurfert1-29;?;203757.815;186896.602;20.010;0.008;0.012;1.072;27;2024-09-02;14:40:23
schurfert1-30;?;203758.115;186897.351;20.049;0.007;0.010;1.072;27;2024-09-02;14:40:37
schurfert1-31;?;203760.283;186893.475;20.156;0.007;0.010;1.072;27;2024-09-02;14:41:03
schurfert1-32;?;203760.645;186894.011;19.988;0.008;0.011;1.073;27;2024-09-02;14:41:18
schurfert1-33;?;203760.946;186894.724;19.957;0.008;0.011;1.073;27;2024-09-02;14:41:33
schurfert1-34;?;203761.007;186895.384;19.984;0.008;0.011;1.073;27;2024-09-02;14:41:50
schurfert1-35;?;203761.376;186896.077;20.019;0.008;0.011;1.073;27;2024-09-02;14:42:05
schurfert1-36;?;203763.482;186892.181;20.257;0.008;0.011;1.111;26;2024-09-02;14:42:46
schurfert1-37;?;203763.998;186892.991;19.923;0.008;0.011;1.112;26;2024-09-02;14:43:01
schurfert1-38;?;203764.142;186893.702;19.927;0.008;0.011;1.112;26;2024-09-02;14:43:15
schurfert1-39;?;203764.350;186894.547;19.921;0.007;0.009;1.113;26;2024-09-02;14:43:29
schurfert1-40;?;203764.657;186895.322;20.080;0.007;0.009;1.113;26;2024-09-02;14:43:44
schurfert1-41;?;203766.422;186891.087;20.205;0.007;0.010;1.122;25;2024-09-02;14:44:23
schurfert1-42;?;203766.733;186891.555;19.838;0.007;0.010;1.123;25;2024-09-02;14:44:37
schurfert1-43;?;203766.967;186892.298;19.874;0.007;0.009;1.123;25;2024-09-02;14:44:54
schurfert1-44;?;203767.123;186892.891;19.889;0.007;0.010;1.123;25;2024-09-02;14:45:09
schurfert1-45;?;203767.300;186893.581;19.978;0.007;0.010;1.124;25;2024-09-02;14:45:26
schurfert1-46;?;203769.226;186890.384;20.129;0.008;0.012;1.125;25;2024-09-02;14:46:27
